person,backbone,fusion,selected_weight_type,selected_checkpoint,IoU,nIoU,Pd,Fa,test_set,notes
person1,FPN,BiLocal,pkl,experiments/training_runs/2026-07-10-01-38-03_FPN_BiLocal/checkpoint/Epoch- 29_IoU-0.2664_nIoU-0.3093.pkl,0.26644892435619305,0.3093132385053442,0.9875,704.678125,data/sirst/idx_427/test.txt,selected epoch 29 checkpoint; best IoU and best nIoU are from the same checkpoint; Fa=false_alarm_pixels/total_images.
person1,FPN,AsymBi,pkl,experiments/training_runs/2026-07-10-02-30-15_FPN_AsymBi/checkpoint/Epoch- 26_IoU-0.4059_nIoU-0.4856.pkl,0.40594209225945366,0.48558731667721544,0.990625,360.0703125,data/sirst/idx_427/test.txt,selected epoch 26 best-IoU checkpoint; epoch 22 has best nIoU=0.49409 but is not used in the main table; Fa=false_alarm_pixels/total_images.
person2,FPN,BiGlobal,pkl,experiments/training_runs/2026-07-10-11-40-36_FPN_BiGlobal/checkpoint/Epoch- 29_IoU-0.3661_nIoU-0.4457.pkl,0.36606017963742704,0.44571402346026723,0.9890625,440.821875,data/sirst/idx_427/test.txt,best IoU and best nIoU occurred at epoch 29; selected complete training checkpoint; final test evaluated using the same evaluator and test split as other models; Fa=false_alarm_pixels/total_images.
person2,UNet,BiLocal,pkl,experiments/training_runs/2026-07-10-12-58-28_UNet_BiLocal/checkpoint/Epoch- 30_IoU-0.3773_nIoU-0.4348.pkl,0.37725993368050414,0.43481443153606963,0.9859375,415.790625,data/sirst/idx_427/test.txt,best IoU and best nIoU occurred at epoch 30; selected complete training checkpoint; final test evaluated using the same evaluator and test split as other models; Fa=false_alarm_pixels/total_images.
person3,UNet,AsymBi,pt,../infrared_detection_inference_v2-xcy34/inference_package/checkpoint/asymbi.pt,0.32624358516384305,0.3772964333345205,0.9953125,530.640625,data/sirst/idx_427/test.txt,selected asymbi.pt because it has higher final-test IoU than the pkl candidate; pkl has slightly higher nIoU but much lower IoU; do not mix pt and pkl metrics; Fa=false_alarm_pixels/total_images.
person4,UNet,BiGlobal,pkl,../2026-07-09-23-56-57_UNet_BiGlobal-hk/checkpoint/Epoch- 29_IoU-0.3884_nIoU-0.4837.pkl,0.3883507577176704,0.4837368389739455,0.99375,389.1375,data/sirst/idx_427/test.txt,selected complete result-directory pkl checkpoint because it was verified by the same evaluator and matches filename metrics; do not mix biglobal.pt and pkl metrics; Fa=false_alarm_pixels/total_images.
